"filename", "language", "XML", "C#", "GLSL", "Batch", "comment", "blank", "total"
"e:\dev\VulkanDumpster\VulkanDumpster.csproj", "XML", 17, 0, 0, 0, 0, 4, 21
"e:\dev\VulkanDumpster\VulkanDumpster.slnx", "XML", 3, 0, 0, 0, 0, 1, 4
"e:\dev\VulkanDumpster\shaders\colored_triangle.frag", "GLSL", 0, 0, 7, 0, 3, 4, 14
"e:\dev\VulkanDumpster\shaders\colored_triangle.vert", "GLSL", 0, 0, 17, 0, 3, 5, 25
"e:\dev\VulkanDumpster\shaders\compile.bat", "Batch", 0, 0, 0, 21, 3, 7, 31
"e:\dev\VulkanDumpster\src\Exceptions.cs", "C#", 0, 7, 0, 0, 0, 5, 12
"e:\dev\VulkanDumpster\src\FrameData.cs", "C#", 0, 9, 0, 0, 22, 7, 38
"e:\dev\VulkanDumpster\src\ImageUtils.cs", "C#", 0, 38, 0, 0, 22, 6, 66
"e:\dev\VulkanDumpster\src\InstanceBuilder.cs", "C#", 0, 133, 0, 0, 10, 31, 174
"e:\dev\VulkanDumpster\src\LogicalDeviceBuilder.cs", "C#", 0, 298, 0, 0, 70, 77, 445
"e:\dev\VulkanDumpster\src\PhysicalDeviceSelector.cs", "C#", 0, 218, 0, 0, 57, 58, 333
"e:\dev\VulkanDumpster\src\PipelineBuilder.cs", "C#", 0, 213, 0, 0, 58, 39, 310
"e:\dev\VulkanDumpster\src\Program.cs", "C#", 0, 629, 0, 0, 91, 135, 855
"e:\dev\VulkanDumpster\src\QueueFamilyUtils.cs", "C#", 0, 150, 0, 0, 137, 52, 339
"e:\dev\VulkanDumpster\src\ShaderUtils.cs", "C#", 0, 45, 0, 0, 20, 11, 76
"e:\dev\VulkanDumpster\src\SwapchainBuilder.cs", "C#", 0, 283, 0, 0, 69, 62, 414
"Total", "-", 20, 2023, 24, 21, 565, 504, 3157
