"filename", "language", "C#", "GLSL", "comment", "blank", "total"
"e:\dev\VulkanDumpster\shaders\colored_triangle.vert", "GLSL", 0, 5, 0, 0, 5
"e:\dev\VulkanDumpster\src\Exceptions.cs", "C#", -7, 0, -3, -5, -15
"e:\dev\VulkanDumpster\src\FrameData.cs", "C#", -9, 0, -22, -7, -38
"e:\dev\VulkanDumpster\src\ImageUtils.cs", "C#", -38, 0, -22, -6, -66
"e:\dev\VulkanDumpster\src\InstanceBuilder.cs", "C#", -133, 0, -18, -31, -182
"e:\dev\VulkanDumpster\src\LogicalDeviceBuilder.cs", "C#", -299, 0, -155, -77, -531
"e:\dev\VulkanDumpster\src\PhysicalDeviceSelector.cs", "C#", -218, 0, -72, -61, -351
"e:\dev\VulkanDumpster\src\PipelineBuilder.cs", "C#", -221, 0, -57, -40, -318
"e:\dev\VulkanDumpster\src\Program.cs", "C#", -578, 0, -131, -114, -823
"e:\dev\VulkanDumpster\src\QueueFamilyUtils.cs", "C#", -150, 0, -137, -52, -339
"e:\dev\VulkanDumpster\src\ShaderUtils.cs", "C#", -45, 0, -20, -11, -76
"e:\dev\VulkanDumpster\src\SwapchainBuilder.cs", "C#", -283, 0, -70, -62, -415
"e:\dev\VulkanDumpster\src\Vertex.cs", "C#", -30, 0, 0, -6, -36
"e:\dev\VulkanDumpster\src\vulkan\DescriptorSetManager.cs", "C#", 57, 0, 0, 13, 70
"e:\dev\VulkanDumpster\src\vulkan\Exceptions.cs", "C#", 7, 0, 3, 5, 15
"e:\dev\VulkanDumpster\src\vulkan\FrameData.cs", "C#", 13, 0, 23, 8, 44
"e:\dev\VulkanDumpster\src\vulkan\ImageUtils.cs", "C#", 38, 0, 22, 6, 66
"e:\dev\VulkanDumpster\src\vulkan\InstanceBuilder.cs", "C#", 133, 0, 18, 30, 181
"e:\dev\VulkanDumpster\src\vulkan\LogicalDeviceBuilder.cs", "C#", 299, 0, 155, 77, 531
"e:\dev\VulkanDumpster\src\vulkan\PhysicalDeviceSelector.cs", "C#", 218, 0, 72, 61, 351
"e:\dev\VulkanDumpster\src\vulkan\PipelineBuilder.cs", "C#", 221, 0, 57, 40, 318
"e:\dev\VulkanDumpster\src\vulkan\QueueFamilyUtils.cs", "C#", 152, 0, 137, 52, 341
"e:\dev\VulkanDumpster\src\vulkan\Renderer.cs", "C#", 178, 0, 0, 46, 224
"e:\dev\VulkanDumpster\src\vulkan\ShaderUtils.cs", "C#", 47, 0, 20, 11, 78
"e:\dev\VulkanDumpster\src\vulkan\SwapchainBuilder.cs", "C#", 283, 0, 70, 62, 415
"e:\dev\VulkanDumpster\src\vulkan\Vertex.cs", "C#", 35, 0, 0, 5, 40
"e:\dev\VulkanDumpster\src\vulkan\VulkanBuffer.cs", "C#", 110, 0, 11, 31, 152
"e:\dev\VulkanDumpster\src\vulkan\VulkanCommandBuffer.cs", "C#", 29, 0, 3, 9, 41
"e:\dev\VulkanDumpster\src\vulkan\VulkanContext.cs", "C#", 99, 0, 3, 22, 124
"e:\dev\VulkanDumpster\src\vulkan\VulkanPipeline.cs", "C#", 22, 0, 0, 5, 27
"Total", "-", -70, 5, -113, 11, -167
