"filename", "language", "XML", "C#", "GLSL", "Markdown", "Batch", "comment", "blank", "total"
"e:\dev\VulkanDumpster\Guide.md", "Markdown", 0, 0, 0, 119, 0, 0, 39, 158
"e:\dev\VulkanDumpster\VulkanDumpster.csproj", "XML", 17, 0, 0, 0, 0, 0, 4, 21
"e:\dev\VulkanDumpster\VulkanDumpster.slnx", "XML", 3, 0, 0, 0, 0, 0, 1, 4
"e:\dev\VulkanDumpster\shaders\colored_triangle.frag", "GLSL", 0, 0, 6, 0, 0, 2, 4, 12
"e:\dev\VulkanDumpster\shaders\colored_triangle.vert", "GLSL", 0, 0, 13, 0, 0, 0, 4, 17
"e:\dev\VulkanDumpster\shaders\compile.bat", "Batch", 0, 0, 0, 0, 21, 3, 7, 31
"e:\dev\VulkanDumpster\src\Program.cs", "C#", 0, 165, 0, 0, 0, 3, 47, 215
"e:\dev\VulkanDumpster\src\vulkan\DescriptorSetManager.cs", "C#", 0, 57, 0, 0, 0, 0, 13, 70
"e:\dev\VulkanDumpster\src\vulkan\Exceptions.cs", "C#", 0, 7, 0, 0, 0, 3, 5, 15
"e:\dev\VulkanDumpster\src\vulkan\FrameData.cs", "C#", 0, 13, 0, 0, 0, 23, 8, 44
"e:\dev\VulkanDumpster\src\vulkan\ImageUtils.cs", "C#", 0, 38, 0, 0, 0, 22, 6, 66
"e:\dev\VulkanDumpster\src\vulkan\InstanceBuilder.cs", "C#", 0, 133, 0, 0, 0, 18, 30, 181
"e:\dev\VulkanDumpster\src\vulkan\LogicalDeviceBuilder.cs", "C#", 0, 299, 0, 0, 0, 155, 77, 531
"e:\dev\VulkanDumpster\src\vulkan\PhysicalDeviceSelector.cs", "C#", 0, 218, 0, 0, 0, 72, 61, 351
"e:\dev\VulkanDumpster\src\vulkan\PipelineBuilder.cs", "C#", 0, 221, 0, 0, 0, 57, 40, 318
"e:\dev\VulkanDumpster\src\vulkan\QueueFamilyUtils.cs", "C#", 0, 152, 0, 0, 0, 137, 52, 341
"e:\dev\VulkanDumpster\src\vulkan\Renderer.cs", "C#", 0, 178, 0, 0, 0, 0, 46, 224
"e:\dev\VulkanDumpster\src\vulkan\ShaderUtils.cs", "C#", 0, 47, 0, 0, 0, 20, 11, 78
"e:\dev\VulkanDumpster\src\vulkan\SwapchainBuilder.cs", "C#", 0, 283, 0, 0, 0, 70, 62, 415
"e:\dev\VulkanDumpster\src\vulkan\Vertex.cs", "C#", 0, 35, 0, 0, 0, 0, 5, 40
"e:\dev\VulkanDumpster\src\vulkan\VulkanBuffer.cs", "C#", 0, 110, 0, 0, 0, 11, 31, 152
"e:\dev\VulkanDumpster\src\vulkan\VulkanCommandBuffer.cs", "C#", 0, 29, 0, 0, 0, 3, 9, 41
"e:\dev\VulkanDumpster\src\vulkan\VulkanContext.cs", "C#", 0, 99, 0, 0, 0, 3, 22, 124
"e:\dev\VulkanDumpster\src\vulkan\VulkanPipeline.cs", "C#", 0, 22, 0, 0, 0, 0, 5, 27
"Total", "-", 20, 2106, 19, 119, 21, 602, 589, 3476
